event_id,lat,lon,timestamp,case_count,region,country,year,month
0,13.82,103.05,1998-01-01,5,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,1
1,13.82,103.05,1998-02-01,12,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,2
2,13.82,103.05,1998-03-01,22,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,3
3,13.82,103.05,1998-04-01,7,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,4
4,13.82,103.05,1998-05-01,13,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,5
5,13.82,103.05,1998-06-01,167,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,6
6,13.82,103.05,1998-07-01,122,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,7
7,13.82,103.05,1998-08-01,163,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,8
8,13.82,103.05,1998-09-01,11,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,9
9,13.82,103.05,1998-10-01,5,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,10
10,13.82,103.05,1998-11-01,1,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,11
11,13.82,103.05,1998-12-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1998,12
12,13.82,103.05,1999-01-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,1
13,13.82,103.05,1999-02-01,1,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,2
14,13.82,103.05,1999-03-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,3
15,13.82,103.05,1999-04-01,54,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,4
16,13.82,103.05,1999-05-01,53,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,5
17,13.82,103.05,1999-06-01,109,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,6
18,13.82,103.05,1999-07-01,12,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,7
19,13.82,103.05,1999-08-01,3,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,8
20,13.82,103.05,1999-09-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,9
21,13.82,103.05,1999-10-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,10
22,13.82,103.05,1999-11-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,11
23,13.82,103.05,1999-12-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,1999,12
24,13.82,103.05,2000-01-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,1
25,13.82,103.05,2000-02-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,2
26,13.82,103.05,2000-03-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,3
27,13.82,103.05,2000-04-01,3,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,4
28,13.82,103.05,2000-05-01,11,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,5
29,13.82,103.05,2000-06-01,6,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,6
30,13.82,103.05,2000-07-01,2,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,7
31,13.82,103.05,2000-08-01,11,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,8
32,13.82,103.05,2000-09-01,3,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,9
33,13.82,103.05,2000-10-01,3,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,10
34,13.82,103.05,2000-11-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,11
35,13.82,103.05,2000-12-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2000,12
36,13.82,103.05,2001-01-01,3,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2001,1
37,13.82,103.05,2001-02-01,5,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2001,2
38,13.82,103.05,2001-03-01,5,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2001,3
39,13.82,103.05,2001-04-01,74,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2001,4
40,13.82,103.05,2001-05-01,255,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2001,5
